Time	dt	Velocity Autocorrelation Function	Velocity Autocorrelation Function delta	Diffusivity	Diffusivity delta
0.4208626959	0.0007245974	0.3863281608	0.0101611614	0.1314351708	0.0049783247
0.4215872933	0.0006898318	0.3875017464	0.0086902976	0.1315686256	0.0050621736
0.4222771251	0.0000812757	0.3889510930	0.0059415698	0.1315844059	0.0047277168
0.4223584008	0.0038527005	0.3890939057	0.0059415698	0.1323338002	0.0059720091
0.4262111013	0.0003443924	0.3889481425	0.0059415698	0.1324007958	0.0056495498
0.4265554937	0.0041193825	0.3913064003	0.0059415698	0.1332043260	0.0066009572
0.4306748762	0.0016106949	0.3907029927	0.0059415698	0.1335192323	0.0061026185
0.4322855711	0.0001252384	0.3867139816	0.0059415698	0.1335435659	0.0047206501
0.4324108094	0.0004926695	0.3871471286	0.0049782395	0.1336388737	0.0046879839
0.4329034790	0.0051449111	0.3867128491	0.0049782395	0.1346342415	0.0063981259
0.4380483901	0.0056161556	0.3837407529	0.0075656474	0.1357159913	0.0082947133
0.4436645457	0.0014680161	0.3785319328	0.0127744675	0.1359957457	0.0088226742
0.4451325618	0.0011060836	0.3789841235	0.0127744675	0.1362052113	0.0077428251
0.4462386454	0.0005272725	0.3762692809	0.0150371194	0.1363047659	0.0078079614
0.4467659179	0.0004879416	0.3761006594	0.0152057409	0.1363965422	0.0063844342
0.4472538594	0.0040093022	0.3668791652	0.0238238275	0.1371412575	0.0072440603
0.4512631616	0.0002457964	0.3701085150	0.0202679634	0.1371865422	0.0072859535
0.4515089580	0.0007261061	0.3681290150	0.0202679634	0.1373205483	0.0073633440
0.4522350641	0.0012979968	0.3674852550	0.0198336840	0.1375592649	0.0058500361
0.4535330610	0.0010999679	0.3673312664	0.0168615878	0.1377613246	0.0040906797
0.4546330288	0.0021434052	0.3647222221	0.0142619014	0.1381535977	0.0043157091
0.4567764340	0.0000202657	0.3636932671	0.0152908564	0.1381572932	0.0039041519
0.4567966997	0.0010400063	0.3609374762	0.0153318048	0.1383456886	0.0040818500
0.4578367060	0.0008429175	0.3579623401	0.0181383193	0.1384971887	0.0042012804
0.4586796235	0.0007457021	0.3554017246	0.0147067904	0.1386301816	0.0029778436
0.4594253256	0.0021913963	0.3548916578	0.0152168572	0.1390193105	0.0036655363
0.4616167219	0.0006923799	0.3546693623	0.0134596527	0.1391421258	0.0036431598
0.4623091018	0.0029683748	0.3509483337	0.0165369213	0.1396657676	0.0042130162
0.4652774766	0.0011832833	0.3477739990	0.0195572674	0.1398724616	0.0042222722
0.4664607600	0.0004044457	0.3460253179	0.0186969042	0.1399426162	0.0035780306
0.4668652057	0.0029035028	0.3458617032	0.0178315639	0.1404448450	0.0045750977
0.4697687085	0.0001875068	0.3450108469	0.0159266293	0.1404772252	0.0042630591
0.4699562153	0.0000571675	0.3443758488	0.0135864913	0.1404870749	0.0039797777
0.4700133828	0.0009390154	0.3446862102	0.0110258758	0.1406488419	0.0040373191
0.4709523981	0.0011367880	0.3444096744	0.0105158091	0.1408446729	0.0036507299
0.4720891862	0.0060947493	0.3442024589	0.0104669034	0.1418939084	0.0055035461
0.4781839354	0.0001196538	0.3391052485	0.0118430853	0.1419143528	0.0044971574
0.4783035892	0.0025000324	0.3333367705	0.0144372284	0.1423346251	0.0049243276
0.4808036217	0.0038771272	0.3304463029	0.0155790150	0.1429780275	0.0060708112
0.4846807488	0.0006485955	0.3298637867	0.0159979165	0.1430850923	0.0052805003
0.4853293444	0.0022244905	0.3304604590	0.0151470602	0.1434523165	0.0059501712
0.4875538348	0.0000636722	0.3306911886	0.0148224235	0.1434628367	0.0059515144
0.4876175070	0.0013452704	0.3282744288	0.0164117813	0.1436844617	0.0060712380
0.4889627775	0.0021830552	0.3278841972	0.0165254772	0.1440425664	0.0063957753
0.4911458327	0.0023062429	0.3292147219	0.0163182616	0.1444214284	0.0050550310
0.4934520756	0.0015887281	0.3288237751	0.0112210512	0.1446827799	0.0055368729
0.4950408038	0.0002913861	0.3287655711	0.0054525733	0.1447306871	0.0047921157
0.4953321899	0.0004585089	0.3298433125	0.0028069913	0.1448061764	0.0036563190
0.4957906987	0.0036842384	0.3284459114	0.0028069913	0.1454125047	0.0046548292
0.4994749371	0.0004999045	0.3239120245	0.0067791641	0.1454940289	0.0040834450
0.4999748416	0.0009875922	0.3245849311	0.0067791641	0.1456541419	0.0043826218
0.5009624338	0.0020506004	0.3261266053	0.0059312880	0.1459877342	0.0046065529
0.5030130342	0.0008465433	0.3229134679	0.0069298446	0.1461250931	0.0041650580
0.5038595775	0.0053633433	0.3226767480	0.0071665645	0.1469907165	0.0051386041
0.5092229208	0.0003070789	0.3230040073	0.0071665645	0.1470402926	0.0047150194
0.5095299997	0.0005949214	0.3230332732	0.0071665645	0.1471363753	0.0048113839
0.5101249211	0.0004252730	0.3205756247	0.0092676878	0.1472048014	0.0047972496
0.5105501940	0.0006692685	0.3182753026	0.0101706088	0.1473117024	0.0037983838
0.5112194625	0.0000400102	0.3144792020	0.0116474032	0.1473180205	0.0036479838
0.5112594727	0.0002315848	0.3147889376	0.0116474032	0.1473544538	0.0034006230
0.5114910576	0.0009949229	0.3131625950	0.0129640102	0.1475106478	0.0030458300
0.5124859805	0.0017116517	0.3128696978	0.0101635754	0.1477785408	0.0033068844
0.5141976322	0.0001174758	0.3171645105	0.0101635754	0.1477970332	0.0016126303
0.5143151080	0.0005934427	0.3176242411	0.0101635754	0.1478912234	0.0017018482
0.5149085507	0.0030104238	0.3171770871	0.0101635754	0.1483689696	0.0024651880
0.5179189745	0.0002357326	0.3173222542	0.0077059269	0.1484063715	0.0024031194
0.5181547071	0.0014439072	0.3160543740	0.0054056048	0.1486350000	0.0026466065
0.5195986142	0.0024941184	0.3152536750	0.0047545433	0.1490286440	0.0034212267
0.5220927326	0.0030943801	0.3126263618	0.0049978793	0.1495143622	0.0043198119
0.5251871127	0.0009537128	0.3136547804	0.0049978793	0.1496636868	0.0043060764
0.5261408255	0.0001923497	0.3136734962	0.0049978793	0.1496938467	0.0038306350
0.5263331752	0.0009720755	0.3133128285	0.0049978793	0.1498462260	0.0040983672
0.5273052508	0.0004667722	0.3140758872	0.0049978793	0.1499194354	0.0040564356
0.5277720229	0.0008508761	0.3139495254	0.0046958923	0.1500530243	0.0033681110
0.5286228991	0.0001481883	0.3130823374	0.0046958923	0.1500762552	0.0033397843
0.5287710873	0.0007913211	0.3121783435	0.0038760304	0.1501999497	0.0031299068
0.5295624085	0.0032164031	0.3124465942	0.0030753314	0.1507022083	0.0033471511
0.5327788116	0.0034584500	0.3064265847	0.0076493025	0.1512372941	0.0034458723
0.5362372615	0.0001619171	0.3059171438	0.0081587434	0.1512620896	0.0031968005
0.5363991786	0.0001468735	0.3010399640	0.0130359232	0.1512843668	0.0031810403
0.5365460521	0.0001712706	0.3008265495	0.0132493377	0.1513101459	0.0029278423
0.5367173227	0.0029125561	0.2954857647	0.0185901225	0.1517443359	0.0036498150
0.5396298787	0.0014246192	0.2939895093	0.0199600160	0.1519542933	0.0038025180
0.5410544979	0.0018422132	0.2919983268	0.0210840106	0.1522241682	0.0042958158
0.5428967111	0.0015939482	0.2918497622	0.0205968320	0.1524568200	0.0045137367
0.5444906593	0.0012573082	0.2933771312	0.0205968320	0.1526407748	0.0038771191
0.5457479675	0.0002182264	0.2891899347	0.0172366500	0.1526725590	0.0028705139
0.5459661939	0.0016075650	0.2896906137	0.0167272091	0.1529051960	0.0032862335
0.5475737589	0.0016679992	0.2893112898	0.0118500292	0.1531466395	0.0037245479
0.5492417581	0.0013482708	0.2888996601	0.0119268894	0.1533415467	0.0040627994
0.5505900289	0.0023829822	0.2870016396	0.0084841251	0.1536846310	0.0038805842
0.5529730111	0.0049152225	0.2876507640	0.0069878697	0.1543907672	0.0048729675
0.5578882336	0.0002931945	0.2858822048	0.0074949265	0.1544328034	0.0044172886
0.5581814281	0.0000619829	0.2883448303	0.0074949265	0.1544417143	0.0039697729
0.5582434111	0.0014019528	0.2876836360	0.0074949265	0.1546435952	0.0040056500
0.5596453639	0.0004099330	0.2873370349	0.0038084090	0.1547025293	0.0040599442
0.5600552969	0.0030710036	0.2863371968	0.0038084090	0.1551429629	0.0044755280
0.5631263005	0.0001171439	0.2860949337	0.0034290850	0.1551597267	0.0040261691
0.5632434443	0.0008189206	0.2859193087	0.0030174553	0.1552768350	0.0038705937
0.5640623649	0.0010814573	0.2782705128	0.0100743175	0.1554293782	0.0034894860
0.5651438223	0.0004514122	0.2785842121	0.0100743175	0.1554922163	0.0022028993
0.5655952344	0.0000885917	0.2801637948	0.0100743175	0.1555045992	0.0021435712
0.5656838261	0.0021000681	0.2799803317	0.0100743175	0.1557986736	0.0027139454
0.5677838941	0.0023755429	0.2805288434	0.0094131231	0.1561315507	0.0029759199
0.5701594371	0.0021224383	0.2772950232	0.0100420117	0.1564275473	0.0034500333
0.5722818754	0.0008582308	0.2822380066	0.0090421736	0.1565475911	0.0028092597
0.5731401062	0.0010687847	0.2817184627	0.0087999105	0.1566982865	0.0030771052
0.5742088908	0.0002919556	0.2785822451	0.0086242855	0.1567391753	0.0029246796
0.5745008464	0.0004054991	0.2806773782	0.0049429834	0.1567958742	0.0027329956
0.5749063455	0.0014317446	0.2818596959	0.0049429834	0.1569972336	0.0030100148
0.5763380901	0.0003158885	0.2792907059	0.0049429834	0.1570415348	0.0030738951
0.5766539786	0.0000102562	0.2778460085	0.0049429834	0.1570429653	0.0024885818
0.5766642348	0.0001583019	0.2782679200	0.0049429834	0.1570649743	0.0018668419
0.5768225367	0.0045653721	0.2713082731	0.0109297335	0.1576922387	0.0025293784
0.5813879088	0.0010536358	0.2717668712	0.0109297335	0.1578352898	0.0025753759
0.5824415446	0.0080984481	0.2719243765	0.0105514228	0.1589360535	0.0044755296
0.5905399926	0.0014529484	0.2717263997	0.0105514228	0.1591335237	0.0047886864
0.5919929410	0.0006153935	0.2712281048	0.0106315911	0.1592170596	0.0048423620
0.5926083345	0.0029480133	0.2691093683	0.0127503276	0.1596152931	0.0052361184
0.5955563478	0.0013608226	0.2682093382	0.0110813677	0.1597980857	0.0055130856
0.5969171704	0.0006412089	0.2657620609	0.0125058591	0.1598836780	0.0056814222
0.5975583793	0.0002760692	0.2638578415	0.0144100785	0.1599202305	0.0057105111
0.5978344485	0.0040511259	0.2633110285	0.0086133480	0.1604541391	0.0055238149
0.6018855744	0.0004340376	0.2632175386	0.0087068379	0.1605112702	0.0053519798
0.6023196120	0.0008411962	0.2633037567	0.0087068379	0.1606220007	0.0033719060
0.6031608082	0.0029362564	0.2612479031	0.0104784966	0.1610070616	0.0037470668
0.6060970646	0.0010114514	0.2592305839	0.0119975209	0.1611386687	0.0038432208
0.6071085159	0.0002472802	0.2536736727	0.0154356956	0.1611703783	0.0031101753
0.6073557961	0.0016078217	0.2523417771	0.0158675611	0.1613737643	0.0031513689
0.6089636178	0.0000433950	0.2466692924	0.0190927684	0.1613791883	0.0029910026
0.6090070128	0.0014533711	0.2450265586	0.0188312829	0.1615578383	0.0032752050
0.6104603839	0.0000048205	0.2448060960	0.0185049325	0.1615584344	0.0022085719
0.6104652044	0.0003456477	0.2450513095	0.0184976608	0.1616007537	0.0021789643
0.6108108521	0.0001300763	0.2462655008	0.0184976608	0.1616167277	0.0019894648
0.6109409285	0.0008315193	0.2464491129	0.0164418072	0.1617191583	0.0014242066
0.6117724478	0.0010797457	0.2461791486	0.0144244879	0.1618521363	0.0014269439
0.6128521935	0.0002932284	0.2457254976	0.0088675767	0.1618881971	0.0014356486
0.6131454219	0.0018405665	0.2464575320	0.0075356811	0.1621146649	0.0014818051
0.6149859884	0.0009929724	0.2473775744	0.0025714785	0.1622372568	0.0017161601
0.6159789608	0.0001304102	0.2458103299	0.0025714785	0.1622533351	0.0013910102
0.6161093710	0.0012940475	0.2453483045	0.0025714785	0.1624122411	0.0017076209
0.6174034185	0.0010389716	0.2419742942	0.0054032803	0.1625388116	0.0018761190
0.6184423901	0.0020445003	0.2404399663	0.0069376081	0.1627853960	0.0023373127
0.6204868904	0.0040965088	0.2401701212	0.0072074533	0.1632775962	0.0031168736
0.6245833992	0.0016437424	0.2445551604	0.0072074533	0.1634767801	0.0032492987
0.6262271416	0.0002262041	0.2442009002	0.0072074533	0.1635044217	0.0032324578
0.6264533458	0.0011936144	0.2435702533	0.0072074533	0.1636499763	0.0030706154
0.6276469602	0.0043028658	0.2432454377	0.0072074533	0.1641736478	0.0038727843
0.6319498261	0.0006726171	0.2435375750	0.0056402087	0.1642555147	0.0040043353
0.6326224431	0.0008362116	0.2435929179	0.0051781833	0.1643573493	0.0038902160
0.6334586547	0.0002290213	0.2449847460	0.0048146248	0.1643853188	0.0036930062
0.6336876761	0.0003233556	0.2429051548	0.0048146248	0.1644247621	0.0032787391
0.6340110316	0.0014255816	0.2447442412	0.0048146248	0.1645985544	0.0026419194
0.6354366133	0.0008200018	0.2416728586	0.0033118874	0.1646982729	0.0024429691
0.6362566151	0.0035396155	0.2405551672	0.0044295788	0.1651249975	0.0032411407
0.6397962306	0.0012668032	0.2401385903	0.0048461556	0.1652772278	0.0032545075
0.6410630337	0.0029746381	0.2412236780	0.0048461556	0.1656351984	0.0029230955

Temperature: 	2.9993994236
Density: 	0.2547999918
Density real: 	0.2001194507
Velocity Autocorrelation Function: 	0.2412236780
Diffusitivity delta: 	0.0029230955
Diffusitivity delta ratio: 	0.0176477918
Diffusivity: 	0.1656351984
Packing_ratio: 	0.2001194507
Pressure from state space Boublik: 	2.0556364059
Pressure from state space Handerson: 	2.0553445816
Pressure from state space Solan: 	2.0550167561
Number of particles: 	637
RDF theor: 	1.4065766335

Max peak: 1.62776
Min peak: 0

0,0;0.1,0;0.2,0;0.3,0;0.4,0;0.5,0;0.6,0;0.7,0;0.8,0;0.9,0.00435812;1,1.62776;1.1,1.52435;1.2,1.32378;1.3,1.14049;1.4,1.08284;1.5,1.19369;1.6,0.997736;1.7,1.09594;1.8,0.885787;1.9,0.898001;2,0.913897;2.1,1.13653;2.2,1.19006;2.3,1.08631;2.4,0.918473;2.5,0.863691;2.6,1.0726;2.7,0.955154;2.8,0.875514;2.9,0.958936;3,0.966848;3.1,1.10204;3.2,1.14789;3.3,0.994839;3.4,0.98173;3.5,1.05678;3.6,0.976763;3.7,0.945063;3.8,1.08328;3.9,1.03187;4,1.00656;4.1,0.943745;4.2,1.00206;4.3,1.10737;4.4,1.07329;4.5,1.0089;4.6,1.06584;4.7,1.15332;4.8,1.02102;4.9,0.97017;5,0.903307;5.1,1.03787;5.2,0.959833;5.3,0.982056;5.4,1.10878;5.5,0.971305;5.6,0.998086;5.7,1.0284;5.8,1.0384;5.9,0.997528;6,0.98646;6.1,1.02752;6.2,0.954638;6.3,1.06867;6.4,0.994672;6.5,0.896096;6.6,1.05367;6.7,1.07571;6.8,1.0296;6.9,1.07124;7,0.950318;7.1,0.970356;7.2,0.964506;7.3,0.988367;7.4,0.988527;7.5,1.00672;7.6,1.02315;7.7,1.0361;7.8,1.00572;7.9,1.01781;8,0.990382;8.1,0.966049;8.2,1.11547;8.3,0.991445;8.4,0.989214;8.5,0.984037;8.6,0.99289;8.7,1.0189;8.8,0.923524;8.9,1.07952;9,1.0235;9.1,1.01958;9.2,1.04133;9.3,0.980787;9.4,0.984749;9.5,1.01897;9.6,1.0153;9.7,1.00261;9.8,0.991583;9.9,0.947494;
